EV Logger Parsed Log
Generated: Tue Mar  4 18:47:07 2014
Frequency: 1kHz
ADC0, ADC1, ADC2, ADC3, ADC4, ADC5, ADC6, ACCELX, ACCELY, ACCELZ
756, 1512, 1919, 2145, 2235, 2170, 0, 6, 0, 66
756, 1512, 1919, 2145, 2235, 2170, 0, 6, 0, 66
762, 1574, 1808, 1872, 2100, 2107, 0, 6, 0, 66
762, 1574, 1808, 1872, 2100, 2107, 0, 6, 0, 66
752, 1551, 1691, 1805, 1855, 2028, 0, 6, 0, 66
752, 1551, 1691, 1805, 1855, 2028, 0, 6, 255, 67
749, 1550, 1665, 1695, 1817, 1887, 0, 6, 255, 67
749, 1550, 1665, 1695, 1817, 1887, 0, 6, 255, 66
752, 1553, 1674, 1711, 1866, 2020, 0, 6, 255, 66
752, 1553, 1674, 1711, 1866, 2020, 0, 6, 255, 66
757, 1572, 1744, 1952, 1938, 1920, 0, 7, 255, 66
757, 1572, 1744, 1952, 1938, 1920, 0, 7, 255, 66
761, 1588, 1818, 1877, 2062, 1944, 0, 7, 255, 66
761, 1588, 1818, 1877, 2062, 1944, 0, 7, 255, 66
768, 1262, 1833, 1924, 1879, 2075, 0, 7, 255, 66
768, 1262, 1833, 1924, 1879, 2075, 0, 7, 255, 66
762, 1535, 2000, 2104, 2083, 2058, 0, 7, 255, 66
762, 1535, 2000, 2104, 2083, 2058, 0, 7, 255, 66
770, 1261, 1871, 2089, 2064, 1973, 0, 7, 255, 66
770, 1261, 1871, 2089, 2064, 1973, 0, 7, 255, 66
756, 1510, 1935, 1926, 1878, 2068, 0, 6, 0, 66
756, 1510, 1935, 1926, 1878, 2068, 0, 6, 0, 66
762, 1572, 1786, 2097, 2056, 1948, 0, 6, 0, 67
762, 1572, 1786, 2097, 2056, 1948, 0, 6, 0, 67
752, 1552, 1693, 1855, 2010, 2126, 0, 6, 0, 67
752, 1552, 1693, 1855, 2010, 2126, 0, 6, 0, 67
749, 1548, 1652, 2014, 2163, 2295, 0, 6, 0, 67
749, 1548, 1652, 2014, 2163, 2295, 0, 6, 0, 66
751, 1562, 1709, 1902, 2175, 2359, 0, 6, 0, 66
751, 1562, 1709, 1902, 2175, 2359, 0, 6, 0, 66
758, 1574, 1757, 2031, 2250, 2286, 0, 8, 1, 66
758, 1574, 1757, 2031, 2250, 2286, 0, 8, 1, 66
761, 1587, 1824, 1911, 2220, 2169, 0, 8, 0, 66
761, 1587, 1824, 1911, 2220, 2169, 0, 8, 0, 66
768, 1262, 1832, 1918, 2232, 2187, 0, 8, 0, 66
768, 1262, 1832, 1918, 2232, 2187, 0, 6, 255, 66
762, 1535, 2000, 2108, 2164, 2307, 0, 6, 255, 66
762, 1535, 2000, 2108, 2164, 2307, 0, 7, 255, 66
770, 1261, 1870, 2076, 2038, 2284, 0, 7, 255, 66
770, 1261, 1870, 2076, 2038, 2284, 0, 7, 255, 66
757, 1518, 1953, 1969, 2027, 2227, 0, 8, 255, 65
757, 1518, 1953, 1969, 2027, 2227, 0, 8, 255, 65
760, 1565, 1774, 2079, 1998, 2161, 0, 9, 255, 66
760, 1565, 1774, 2079, 1998, 2161, 0, 9, 255, 66
753, 1559, 1724, 1952, 1943, 1966, 0, 9, 255, 66
753, 1559, 1724, 1952, 1943, 1966, 0, 8, 0, 66
750, 1551, 1679, 1781, 2080, 2004, 0, 8, 0, 66
750, 1551, 1679, 1781, 2080, 2004, 0, 7, 0, 66
751, 1560, 1695, 1814, 1885, 2090, 0, 7, 0, 66
751, 1560, 1695, 1814, 1885, 2090, 0, 7, 0, 66
758, 1576, 1760, 2008, 2120, 2168, 0, 7, 0, 66
758, 1576, 1760, 2008, 2120, 2168, 0, 7, 0, 66
760, 1578, 1791, 2145, 2250, 2247, 0, 6, 0, 67
760, 1578, 1791, 2145, 2250, 2247, 0, 6, 0, 67
767, 1609, 1904, 2187, 2061, 2007, 0, 6, 0, 67
767, 1609, 1904, 2187, 2061, 2007, 0, 6, 255, 66
770, 1278, 1885, 2136, 2201, 2058, 0, 6, 255, 66
770, 1278, 1885, 2136, 2201, 2058, 0, 7, 255, 67
760, 1526, 1983, 2110, 2160, 2267, 0, 7, 255, 67
